timestamp,epoch_time,image_filename,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,gps_utc,gps_lat,gps_ns,gps_lon,gps_ew,gps_speed_kn,gps_course_deg,gps_valid
2025-11-01_15-50-35-568,1761992435.5690749,images/image_2025-11-01_15-50-35-568_0070.jpg,-0.1721,0.2891,0.9919,20.282,-13.626,-26.061,102035.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-36-040,1761992436.0403163,images/image_2025-11-01_15-50-36-040_0071.jpg,-0.1206,0.2222,0.9302,3.603,-5.458,0.359,102035.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-36-506,1761992436.5069327,images/image_2025-11-01_15-50-36-506_0072.jpg,-0.2119,0.449,0.8813,-5.26,-0.565,-4.725,102036.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-36-984,1761992436.9850624,images/image_2025-11-01_15-50-36-984_0073.jpg,-0.1787,0.3623,0.9023,1.534,9.275,-24.015,102036.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-37-458,1761992437.4586577,images/image_2025-11-01_15-50-37-458_0074.jpg,-0.1248,0.2041,1.0593,14.374,-4.481,-3.649,102037.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-38-047,1761992438.0472803,images/image_2025-11-01_15-50-38-047_0075.jpg,-0.1104,0.1777,1.0459,11.763,-13.229,-30.618,102038.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-38-568,1761992438.5682313,images/image_2025-11-01_15-50-38-568_0076.jpg,-0.2488,0.1853,0.9644,6.672,-4.427,-15.328,102038.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-39-689,1761992439.6896071,images/image_2025-11-01_15-50-39-689_0077.jpg,-0.1067,0.1721,0.9595,-18.328,20.153,-17.824,102039.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-40-581,1761992440.5812104,images/image_2025-11-01_15-50-40-581_0078.jpg,-0.3425,0.4731,1.1499,-51.58,33.725,-1.695,102040.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-41-184,1761992441.1846516,images/image_2025-11-01_15-50-41-184_0079.jpg,-0.0649,0.3586,0.8052,8.351,-12.924,-4.878,102041.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-42-024,1761992442.024401,images/image_2025-11-01_15-50-42-024_0080.jpg,-0.0496,0.1665,0.9878,17.29,3.672,-23.084,102041.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-42-570,1761992442.570624,images/image_2025-11-01_15-50-42-570_0081.jpg,-0.1567,0.2563,1.1399,6.855,17.832,3.382,102042.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-43-081,1761992443.0818672,images/image_2025-11-01_15-50-43-081_0082.jpg,-0.1643,0.1846,1.1064,23.145,-0.237,-8.13,102043.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-43-545,1761992443.545917,images/image_2025-11-01_15-50-43-545_0083.jpg,-0.1777,0.1277,0.9863,-24.893,-3.916,-9.947,102043.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-44-069,1761992444.0691638,images/image_2025-11-01_15-50-44-069_0084.jpg,-0.1572,0.1208,1.0586,4.42,3.198,-8.489,102044.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-44-678,1761992444.6789672,images/image_2025-11-01_15-50-44-678_0085.jpg,-0.4937,0.0935,1.4753,44.359,85.565,-2.405,102044.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-45-138,1761992445.1381445,images/image_2025-11-01_15-50-45-138_0086.jpg,-0.1392,0.0103,1.1333,33.45,27.313,-3.954,102045.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-45-649,1761992445.6493516,images/image_2025-11-01_15-50-45-649_0087.jpg,0.01,0.0894,0.9985,49.305,36.031,-25.954,102045.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-46-148,1761992446.1489282,images/image_2025-11-01_15-50-46-148_0088.jpg,-0.1521,0.1702,0.9639,-14.122,-5.634,-5.145,102046.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-46-632,1761992446.6322732,images/image_2025-11-01_15-50-46-632_0089.jpg,-0.1194,0.0884,0.8596,1.405,5.985,-1.863,102046.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-47-145,1761992447.1453927,images/image_2025-11-01_15-50-47-145_0090.jpg,-0.0903,-0.0562,1.1179,-15.214,55.26,2.069,102047.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-47-740,1761992447.7408648,images/image_2025-11-01_15-50-47-740_0091.jpg,-0.1497,0.2537,0.9419,36.962,-17.053,-9.916,102047.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-48-265,1761992448.2655175,images/image_2025-11-01_15-50-48-265_0092.jpg,-0.1233,0.1785,1.1287,2.71,-22.885,-18.672,102048.00,N/A,N/A,N/A,N/A,N/A,N/A,V
